LABEL,TEXT
0,"geeee ... i miss you already, you know ? your all i can think about. i can't wait till next year when we will be together ... *loving kiss*"
0,i dnt wnt to tlk wid u
0,haven't left yet so probably gonna be here til dinner
0,no it was cancelled yeah baby! well that sounds important so i understand my darlin give me a ring later on this fone love kate x
1,you have won! as a valued vodafone customer our computer has picked you to win a £150 prize. to collect is easy. just call 09061743386
0,i'm ok. will do my part tomorrow
0,hey pple...$700 or $900 for 5 nights...excellent location wif breakfast hamper!!!
1,"you have won ?2,000 cash or a ?5,000 prize! to claim, call09050000337"
0,no it's waiting in e car dat's bored wat. cos wait outside got nothing 2 do. at home can do my stuff or watch tv wat.
0,"please protect yourself from e-threats. kotak mahendra bank never asks for sensitive information like passwords,atm/sms pin thru email. never share your password with anybody."
0,"true. it is passable. and if you get a high score and apply for phd, you get 5years of salary. so it makes life easier."
0,"that's good, because i need drugs"
0,still otside le..u come 2morrow maga..
0,"sorry my roommates took forever, it ok if i come by now?"
0,"""keep ur problems in ur heart, b'coz nobody will fight for u. only u &amp; u have to fight for ur self &amp; win the battle. -vivekanand- g 9t.. sd.."
0,"good afternoon, my boytoy ... how are you feeling today ? better i hope? are you being my good boy? are you my obedient, slave? do you please your queen?"
0,"its good, we'll find a way"
0,"so anyways, you can just go to your gym or whatever, my love *smiles* i hope your ok and having a good day babe ... i miss you so much already"
1,okmail: dear dave this is your final notice to collect your 4* tenerife holiday or #5000 cash award! call 09061743806 from landline. tcs sae box326 cw25wx 150ppm
0,oooh i got plenty of those!
0,here is my new address -apples&pairs&all that malarky
0,hows the street where the end of library walk is?
0,"i do know what u mean, is the king of not havin credit! i'm goin2bed now. night night sweet! only1more sleep!"
0,macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.let life begin again.call me anytime
0,umma my life and vava umma love you lot dear
0,yo theres no class tmrw right?
0,"no shit, but i wasn't that surprised, so i went and spent the evening with that french guy i met in town here and we fooled around a bit but i didn't let him fuck me"
0,me too baby! i promise to treat you well! i bet you will take good care of me...
0,"awesome, think we can get an 8th at usf some time tonight?"
0,ok i go change also...
0,"nothing, smsing u n xy lor. sorry lor da guys neva c u in person but they sort of know u lor. so u wan 2 meet them xy ask me 2 bring u along 4 our next meeting."
0,hi neva worry bout da truth coz the truth will lead me 2 ur heart. its the least a unique person like u deserve. sleep tight or morning
0,hows the champ just leaving glasgow!
1,free entry into our £250 weekly competition just text the word win to 80086 now. 18 t&c www.txttowin.co.uk
1,ur cash-balance is currently 500 pounds - to maximize ur cash-in now send go to 86688 only 150p/msg. cc 08718720201 hg/suite342/2lands row/w1j6hl
1,"latest nokia mobile or ipod mp3 player +£400 proze guaranteed! reply with: win to 83355 now! norcorp ltd.£1,50/mtmsgrcvd18+"
0,dont show yourself. how far. put new pictures up on facebook.
1,"you are guaranteed the latest nokia phone, a 40gb ipod mp3 player or a £500 prize! txt word: collect to no: 83355! ibhltd ldnw15h 150p/mtmsgrcvd18"
0,it's really getting me down just hanging around.
0,tessy..pls do me a favor. pls convey my birthday wishes to nimya..pls dnt forget it.
0,dunno lei... i thk mum lazy to go out... i neva ask her yet...
0,:( but your not here....
1,someone who came in contact with you tested positive or has shown symptoms for covid-19 & recommends you self-isolate/get tested. more at covid-19 anon.com/alert
0,u predict wat time u'll finish buying?
0,actually getting ready to leave the house.
0,cos i want it to be your thing
0,its ok my arm is feeling weak cuz i got a shot so we can go another time
0,what does the dance river do?
1,private! your 2004 account statement for 078498****7 shows 786 unredeemed bonus points. to claim call 08719180219 identifier code: 45239 expires 06.05.05
0,"u so lousy, run already come back then half dead... hee..."
1,"your iphone id is due to expire today, please tap https://is.gd/appverify to update and prevent loss of services and apps."
1,"you ve won! your 4* costa del sol holiday or £5000 await collection. call 09050090044 now toclaim. sae, tc s, pobox334, stockport, sk38xh, cost£1.50/pm, max10mins"
0,joy's father is john. then john is the ____ of joy's father. answer?
0,k..i deleted my contact that why?
0,"ok., is any problem to u frm him? wats matter?"
0,my computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full &lt;#&gt; /7
0,mmmm ... not fair ! you know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* don't forget ... i know yours too *wicked smile*
0,carry on not disturbing both of you
0,v skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; if i dont make it hav gd night
0,goodmorning sleeping ga.
